,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,101.0,269.5095836511438,1.0,0.5710491168935817,77.65416218519289,10,0.4651451751269841,133.1820126031556,1.0,0.6115638048223206,322.79263940377996,1.5,0.12225398551072036,262.5488042637089,10,0.5658103819435667,4.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Base Case,dikesnet
1,123.0,266.1060592011967,1.0,0.43409960550779386,193.89535742694142,1.5,0.9407279034825824,123.79654079104901,1.0,0.4412214665646241,349.04657913702425,1.0,0.9487949965508491,150.09189308442834,1.5,0.2171460662906329,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Base Case,dikesnet
2,86.0,168.89308324204364,10,0.14665698434672064,238.1402778765489,1.5,0.7065317658956419,200.24901962708208,1.5,0.8233627264017231,311.33501090989375,1.5,0.8574211964278081,74.44389939582479,10,0.21616144473562665,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Base Case,dikesnet
3,75.0,194.01385839223923,10,0.5102719396701486,276.7622694656834,10,0.47783693959210505,349.409098908328,10,0.23395629214191863,133.21675571263575,10,0.5414040029423033,220.7723900832716,10,0.6632231356780071,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Base Case,dikesnet
4,104.0,339.92457683002334,10,0.40730225092641925,332.4563046473275,1.5,0.9828490560133138,39.418600216965814,1.0,0.6779742642941902,58.728161891306584,1.0,0.22612216660305745,80.81040405351207,1.5,0.44923118027423714,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Base Case,dikesnet
5,30.0,239.95529717401794,10,0.9723006329485187,143.31947002678893,1.5,0.8782440943250417,53.96523675832111,10,0.08774450499867889,73.26945974491215,1.0,0.41251716543893074,173.48323360058689,1.5,0.8819276896968943,3.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Base Case,dikesnet
6,41.0,335.82322989593825,1.0,0.9814928902571977,195.39126301785345,1.0,0.5085259104509753,262.37945505749235,1.0,0.021682327847689413,184.89838478463264,1.0,0.5504322960021059,300.03392024130113,10,0.2766231338458632,1.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Base Case,dikesnet
7,114.0,310.50115196269127,1.0,0.7903029570867967,154.8377039244421,1.0,0.10620944802041844,98.58350438983875,1.5,0.1219324835836688,303.02308046582874,10,0.815078425041384,167.3590049352556,10,0.8987712525770708,4.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Base Case,dikesnet
8,77.0,180.1575313059074,1.0,0.8201089498094496,88.90883435675136,10,0.49521979593841026,271.8897222311914,1.5,0.6258453168964769,274.48390022434864,10,0.6465444027503786,256.793307238161,10,0.9360365482129283,2.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Base Case,dikesnet
9,88.0,165.36136056064882,1.0,0.11023539509375516,293.11985752312245,1.5,0.15217250480194627,88.61063496517345,1.0,0.5387852183670869,313.73360350710493,10,0.20512961363766322,112.13079061245054,1.5,0.8350689929820735,3.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Base Case,dikesnet
