,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0,2864968.3871421954,0,0.0025506826624169467,12249511.20297999,0,0.014383771764403232,322762175.29934525,0,0.6743688636864558,33995530.23930377,0,0.016105412187066417,0.0,0,0.0,0.0,0.0,2348872.7766009383,0,0.0025506826624169467,10042883.377170002,0,0.014383771764403232,264619773.9142816,0,0.6743688636864558,27871572.986138985,0,0.016105412187066417,0.0,0,0.0,0.0,0.0,2864968.3871421954,0,0.0025506826624169467,12249511.20297999,0,0.014383771764403232,322762175.29934525,0,0.6743688636864558,33995530.23930377,0,0.016105412187066417,0.0,0,0.0,0.0,0.0
1,155212152.56993845,0,0.10390115710016117,70383583.12875476,0,0.061567594953989245,0.0,0,0.0,7488504.641677472,0,0.0032996461493108747,0.0,0,0.0,0.0,0.0,101377058.48005827,0,0.10390115710016117,45971146.61923566,0,0.061567594953989245,0.0,0,0.0,4891128.435612971,0,0.0032996461493108747,0.0,0,0.0,0.0,0.0,201309459.33443794,0,0.10390115710016117,91287188.73533826,0,0.061567594953989245,0.0,0,0.0,9712556.624457866,0,0.0032996461493108747,0.0,0,0.0,0.0,0.0
2,1019890528.8179984,0,0.6492812240718586,0.0,0,0.0,42162516.77958909,0,0.07138963730828553,5699332.980872592,0,0.002452902062704718,0.0,0,0.0,0.0,0.0,1019890528.8179984,0,0.6492812240718586,0.0,0,0.0,42162516.77958909,0,0.07138963730828553,5699332.980872592,0,0.002452902062704718,0.0,0,0.0,0.0,0.0,812508404.9763114,0,0.6492812240718586,0.0,0,0.0,33589290.50755426,0,0.07138963730828553,4540444.115197822,0,0.002452902062704718,0.0,0,0.0,0.0,0.0
3,0.0,0,0.0,2028019.8015264361,0,0.0019550282700066626,401257143.9374258,0,0.6647108923268452,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1324604.2826796111,0,0.0019550282700066626,262081726.67508096,0,0.6647108923268452,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1615647.0597960325,0,0.0019550282700066626,319666466.9332642,0,0.6647108923268452,0.0,0,0.0,0.0,0,0.0,0.0,0.0
4,1008722035.9688332,0,0.6403472789522617,145618882.73357064,0,0.12381181695674862,0.0,0,0.0,26424374.668868907,0,0.009470226772596374,0.0,0,0.0,0.0,0.0,1308307914.7949977,0,0.6403472789522617,188867031.77942818,0,0.12381181695674862,0.0,0,0.0,34272294.3388319,0,0.009470226772596374,0.0,0,0.0,0.0,0.0,803610887.0031017,0,0.6403472789522617,116009084.11357535,0,0.12381181695674862,0.0,0,0.0,21051304.927384507,0,0.009470226772596374,0.0,0,0.0,0.0,0.0
5,0.0,0,0.0,5538282.234052482,0,0.006639886958694437,45351167.11554873,0,0.0994176880301677,4007350.038275666,0,0.0024436877392828384,4736176.517742611,0,0.005276768005343689,0.0,0.0,0.0,0,0.0,4540615.675579825,0,0.006639886958694437,37181604.62184014,0,0.0994176880301677,3285465.7152449973,0,0.0024436877392828384,3883001.3404787015,0,0.005276768005343689,0.0,0.0,0.0,0,0.0,6951856.204608482,0,0.006639886958694437,56926458.27256264,0,0.0994176880301677,5030173.626099232,0,0.0024436877392828384,5945023.514429647,0,0.005276768005343689,0.0,0.0
6,1022327407.4468421,0,0.651237924586938,0.0,0,0.0,4670634.06990807,0,0.007972335711033762,3196325.887548876,0,0.001402182172790956,1211749.7376393299,0,0.0010360001021233142,0.0,0.0,1325954020.0189297,0,0.651237924586938,0.0,0,0.0,6057791.247618493,0,0.007972335711033762,4145620.2083737818,0,0.001402182172790956,1571633.924881641,0,0.0010360001021233142,0.0,0.0,1022327407.4468421,0,0.651237924586938,0.0,0,0.0,4670634.06990807,0,0.007972335711033762,3196325.887548876,0,0.001402182172790956,1211749.7376393299,0,0.0010360001021233142,0.0,0.0
7,0.0,0,0.0,9942474.35729609,0,0.014104933792401124,0.0,0,0.0,510233.9696805467,0,0.0003892003653545679,0.0,0,0.0,0.0,0.0,0.0,0,0.0,15222308.380262392,0,0.014104933792401124,0.0,0,0.0,781187.7157986449,0,0.0003892003653545679,0.0,0,0.0,0.0,0.0,0.0,0,0.0,15222308.380262392,0,0.014104933792401124,0.0,0,0.0,781187.7157986449,0,0.0003892003653545679,0.0,0,0.0,0.0,0.0
8,404865075.3885063,0,0.20484109183728755,443996261.3676504,0,0.2787326712225798,911517725.1965014,0,1.1207248849343459,0.0,0,0.0,0.0,0,0.0,0.0,0.0,312156120.5280653,0,0.20484109183728755,342326762.42695075,0,0.2787326712225798,702791755.0479454,0,1.1207248849343459,0.0,0,0.0,0.0,0,0.0,0.0,0.0,203885254.87024853,0,0.20484109183728755,223591256.47850528,0,0.2787326712225798,459029526.175114,0,1.1207248849343459,0.0,0,0.0,0.0,0,0.0,0.0,0.0
9,662723346.6488575,0,0.6450924273824467,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1316002659.7973757,0,0.6450924273824467,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,808337282.6678351,0,0.6450924273824467,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
10,0.0,0,0.0,84640482.74002247,0,0.09253459387472214,569467567.2307752,0,1.150433231081029,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,137797801.48798978,0,0.09253459387472214,927114026.7966532,0,1.150433231081029,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,69393340.11455287,0,0.09253459387472214,466883638.8661848,0,1.150433231081029,0.0,0,0.0,0.0,0,0.0,0.0,0.0
11,18210707.914262526,0,0.012736437280163087,150947625.06146723,0,0.13058603814265762,0.0,0,0.0,24413991.80691453,0,0.009843110938825977,0.0,0,0.0,0.0,0.0,18210707.914262526,0,0.012736437280163087,150947625.06146723,0,0.13058603814265762,0.0,0,0.0,24413991.80691453,0,0.009843110938825977,0.0,0,0.0,0.0,0.0,23619205.736262616,0,0.012736437280163087,195778386.45881143,0,0.13058603814265762,0.0,0,0.0,31664836.866628546,0,0.009843110938825977,0.0,0,0.0,0.0,0.0
12,578073752.3881878,0,0.37380752291610353,0.0,0,0.0,136222651.6097143,0,0.22931594873425232,48457933.22038333,0,0.01761850869351318,0.0,0,0.0,0.0,0.0,377569769.06326574,0,0.37380752291610353,0.0,0,0.0,88974036.43908557,0,0.22931594873425232,31650374.333233867,0,0.01761850869351318,0.0,0,0.0,0.0,0.0,578073752.3881878,0,0.37380752291610353,0.0,0,0.0,136222651.6097143,0,0.22931594873425232,48457933.22038333,0,0.01761850869351318,0.0,0,0.0,0.0,0.0
13,203713002.78582403,0,0.10541187920691934,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,125128026.06443977,0,0.10541187920691934,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,157065315.12930557,0,0.10541187920691934,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
14,60213087.583997615,0,0.051766008394253216,267768469.19519538,0,0.2791409580802108,12008849.20492165,0,0.025226742012335636,0.0,0,0.0,0.0,0,0.0,0.0,0.0,75581689.20061597,0,0.051766008394253216,336112862.31092685,0,0.2791409580802108,15073950.609114278,0,0.025226742012335636,0.0,0,0.0,0.0,0,0.0,0.0,0.0,60213087.583997615,0,0.051766008394253216,267768469.19519538,0,0.2791409580802108,12008849.20492165,0,0.025226742012335636,0.0,0,0.0,0.0,0,0.0,0.0,0.0
15,1000744594.8952314,0,0.6339550063029996,0.0,0,0.0,51887817.839066565,0,0.08604081673537087,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1297961209.8314447,0,0.6339550063029996,0.0,0,0.0,67298264.87342578,0,0.08604081673537087,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1297961209.8314447,0,0.6339550063029996,0.0,0,0.0,67298264.87342578,0,0.08604081673537087,0.0,0,0.0,0.0,0,0.0,0.0,0.0
16,100960923.57897103,0,0.10338318135724736,46129211.79337997,0,0.06203790156840809,388960379.90796864,0,0.9686309736323767,4533974.577661538,0,0.002805003016234078,0.0,0,0.0,0.0,0.0,100960923.57897103,0,0.10338318135724736,46129211.79337997,0,0.06203790156840809,388960379.90796864,0,0.9686309736323767,4533974.577661538,0,0.002805003016234078,0.0,0,0.0,0.0,0.0,123144112.90040387,0,0.10338318135724736,56264747.42623901,0,0.06203790156840809,474422967.2156792,0,0.9686309736323767,5530181.950469076,0,0.002805003016234078,0.0,0,0.0,0.0,0.0
17,120738087.48573947,0,0.06321511759517966,37610342.92082873,0,0.026157589818871316,943695702.481508,0,1.1823139694558815,0.0,0,0.0,0.0,0,0.0,0.0,0.0,120738087.48573947,0,0.06321511759517966,37610342.92082873,0,0.026157589818871316,943695702.481508,0,1.1823139694558815,0.0,0,0.0,0.0,0,0.0,0.0,0.0,60802270.27721344,0,0.06321511759517966,18940123.063991763,0,0.026157589818871316,475233974.2709817,0,1.1823139694558815,0.0,0,0.0,0.0,0,0.0,0.0,0.0
18,546453509.0981852,0,0.533217572370913,212050166.6119352,0,0.25740134079650795,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,666520572.84889,0,0.533217572370913,258641945.1421161,0,0.25740134079650795,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,666520572.84889,0,0.533217572370913,258641945.1421161,0,0.25740134079650795,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
19,848343328.1907743,0,0.5425780346938408,0.0,0,0.0,691244881.9209709,0,1.0922002549644374,0.0,0,0.0,0.0,0,0.0,0.0,0.0,675843205.7011347,0,0.5425780346938408,0.0,0,0.0,550688785.3038127,0,1.0922002549644374,0.0,0,0.0,0.0,0,0.0,0.0,0.0,554096762.2004385,0,0.5425780346938408,0.0,0,0.0,451487668.06108755,0,1.0922002549644374,0.0,0,0.0,0.0,0,0.0,0.0,0.0
20,58724157.09527056,0,0.050235619248602065,278114681.8242602,0,0.2872821460886074,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,95605075.49110737,0,0.050235619248602065,452780873.59954804,0,0.2872821460886074,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,48145583.2284099,0,0.050235619248602065,228015083.11289224,0,0.2872821460886074,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
21,0.0,0,0.0,40892659.54361043,0,0.04614515543304605,579120185.7671328,0,1.1804799920001876,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,51329975.063978754,0,0.04614515543304605,726933024.8078338,0,1.1804799920001876,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,66574745.3191438,0,0.04614515543304605,942828842.8025799,0,1.1804799920001876,0.0,0,0.0,0.0,0,0.0,0.0,0.0
22,0.0,0,0.0,49857937.20922204,0,0.05608784380407167,129067335.02705006,0,0.27382198050561346,12161404.13738816,0,0.0066520224104100485,0.0,0,0.0,0.0,0.0,0.0,0,0.0,49857937.20922204,0,0.05608784380407167,129067335.02705006,0,0.27382198050561346,12161404.13738816,0,0.0066520224104100485,0.0,0,0.0,0.0,0.0,0.0,0,0.0,40876524.827918865,0,0.05608784380407167,105817136.04731092,0,0.27382198050561346,9970647.924686955,0,0.0066520224104100485,0.0,0,0.0,0.0,0.0
23,0.0,0,0.0,23592729.078430086,0,0.027275646604020824,583853280.7810825,0,1.1954402253807617,13989574.15982495,0,0.0071059069121015015,0.0,0,0.0,0.0,0.0,0.0,0,0.0,29614464.033466026,0,0.027275646604020824,732874180.3050053,0,1.1954402253807617,17560229.65475471,0,0.0071059069121015015,0.0,0,0.0,0.0,0.0,0.0,0,0.0,29614464.033466026,0,0.027275646604020824,732874180.3050053,0,1.1954402253807617,17560229.65475471,0,0.0071059069121015015,0.0,0,0.0,0.0,0.0
