,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,20.0,176.8615741754305,1.5,0.7823350100348975,54.82244999352591,1.0,0.6812292580843807,314.0301307955023,10,0.24331030174465204,301.68883759254396,1.5,0.06014965336643919,232.0947902665534,10,0.2707318540747115,3.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Base Case,dikesnet
1,107.0,86.65700142134597,10,0.4585297784634139,165.6597103035723,1.5,0.28966215480769986,62.346406331378645,10,0.5259421498913619,85.2908588263165,1.5,0.37450138363763874,142.20826356548704,1.0,0.3828320777989853,2.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Base Case,dikesnet
2,83.0,112.30847248341858,10,0.032868525716598415,109.70113100708689,10,0.7397370922005599,279.7688056764917,10,0.34657975430651894,119.51182324552451,10,0.23409070014070382,134.65811507762322,1.5,0.3799043393739322,2.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Base Case,dikesnet
3,5.0,233.89797678352204,1.0,0.8315000054946428,328.6013950727498,1.5,0.9829156476222788,130.08545259562766,1.0,0.1911165262018324,182.24618372761628,1.0,0.9026606607314531,252.37316352590253,10,0.7355544424148234,2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,Base Case,dikesnet
4,5.0,34.37437903345271,1.0,0.2884341221316454,188.77186516149078,1.5,0.14315436502111442,144.8396856658448,1.0,0.5836724548714616,95.51201636046906,1.0,0.04277305349794546,208.22671205960734,1.5,0.4533203464466329,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Base Case,dikesnet
5,43.0,64.65142500520376,1.5,0.8766125665923187,32.149204859914924,1.0,0.7975630793414629,36.63510159077591,1.5,0.5019766872066286,335.09648952303854,10,0.5056972374777468,77.38294041804286,1.5,0.6720693671899207,3.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Base Case,dikesnet
6,110.0,150.27643939086028,10,0.32249252063687994,286.41908673222014,1.0,0.5026355845594932,204.41587895540516,1.0,0.44887596520713147,295.1820736271752,10,0.23074897016663543,144.83170054603892,1.0,0.22370841985047535,2.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Base Case,dikesnet
7,21.0,227.9739303153235,10,0.9889737124786999,300.9587201728399,10,0.5312070601576023,145.1896235017356,10,0.8856326496165903,342.1917259097,1.5,0.6129364206717661,301.6011850889748,10,0.9786306636306245,4.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Base Case,dikesnet
8,36.0,320.7504725179396,10,0.4084880160334546,34.13480377588418,1.0,0.055323277517520655,108.63046511514719,1.0,0.01705965070000633,198.75047455430334,1.5,0.47392192921043935,204.66685061765548,1.0,0.7416237387530036,1.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Base Case,dikesnet
9,19.0,290.80770199974677,10,0.2554347973794702,341.2870438539781,1.5,0.6025772938973757,78.99091603049133,10,0.613187694229382,318.3896260704687,1.5,0.6622094348083895,81.4066691517242,1.5,0.9397707832652891,4.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Base Case,dikesnet
